timecode,seconds,dur_ms,L_drop_dB,R_drop_dB,channels
64:09.094,3849.094,23.0,-40.9,-22.1,asymmetric
64:16.998,3856.998,7.0,-32.8,-29.7,both
64:17.190,3857.19,33.0,-23.1,-30.8,asymmetric
64:17.350,3857.35,4.0,-30.8,-33.6,both
64:20.294,3860.294,44.0,-21.6,-33.4,asymmetric
64:28.411,3868.411,33.0,-27.6,-25.8,both
64:37.115,3877.115,8.0,-33.3,-29.4,both
64:41.307,3881.307,10.0,-27.6,-33.0,both
64:47.462,3887.462,10.0,-31.5,-40.4,both
64:48.454,3888.454,12.0,-36.0,-32.0,both
64:49.862,3889.862,22.0,-26.7,-37.7,both
64:51.238,3891.238,62.0,-19.9,-37.2,asymmetric
65:10.812,3910.812,3.0,-28.2,-31.0,both
65:34.897,3934.897,4.0,-34.1,-33.1,both
